currency,rate,base,date
AED,4.227659,EUR,2025-11-06
AFN,75.977117,EUR,2025-11-06
ALL,96.579339,EUR,2025-11-06
AMD,440.401422,EUR,2025-11-06
ANG,2.060565,EUR,2025-11-06
AOA,1055.618419,EUR,2025-11-06
ARS,1670.009534,EUR,2025-11-06
AUD,1.767977,EUR,2025-11-06
AWG,2.074975,EUR,2025-11-06
AZN,1.95776,EUR,2025-11-06
BAM,1.959162,EUR,2025-11-06
BBD,2.317827,EUR,2025-11-06
BDT,140.281926,EUR,2025-11-06
BGN,1.95663,EUR,2025-11-06
BHD,0.433981,EUR,2025-11-06
BIF,3397.088703,EUR,2025-11-06
BMD,1.151165,EUR,2025-11-06
BND,1.504013,EUR,2025-11-06
BOB,7.951852,EUR,2025-11-06
BRL,6.172318,EUR,2025-11-06
BSD,1.1508,EUR,2025-11-06
BTC,1.1165738e-05,EUR,2025-11-06
BTN,102.129905,EUR,2025-11-06
BWP,15.535061,EUR,2025-11-06
BYN,3.922616,EUR,2025-11-06
BYR,22562.839234,EUR,2025-11-06
BZD,2.314532,EUR,2025-11-06
CAD,1.623225,EUR,2025-11-06
CDF,2556.737573,EUR,2025-11-06
CHF,0.931391,EUR,2025-11-06
CLF,0.027716,EUR,2025-11-06
CLP,1087.270382,EUR,2025-11-06
CNY,8.204067,EUR,2025-11-06
CNH,8.204474,EUR,2025-11-06
COP,4414.143216,EUR,2025-11-06
CRC,577.703819,EUR,2025-11-06
CUC,1.151165,EUR,2025-11-06
CUP,30.50588,EUR,2025-11-06
CVE,110.943591,EUR,2025-11-06
CZK,24.367756,EUR,2025-11-06
DJF,204.584772,EUR,2025-11-06
DKK,7.464788,EUR,2025-11-06
DOP,74.023509,EUR,2025-11-06
DZD,150.501724,EUR,2025-11-06
EGP,54.580198,EUR,2025-11-06
ERN,17.267479,EUR,2025-11-06
ETB,176.272146,EUR,2025-11-06
EUR,1.0,EUR,2025-11-06
FJD,2.625348,EUR,2025-11-06
FKP,0.882592,EUR,2025-11-06
GBP,0.880975,EUR,2025-11-06
GEL,3.125379,EUR,2025-11-06
GGP,0.882592,EUR,2025-11-06
GHS,12.576483,EUR,2025-11-06
GIP,0.882592,EUR,2025-11-06
GMD,84.610939,EUR,2025-11-06
GNF,10004.776759,EUR,2025-11-06
GTQ,8.819133,EUR,2025-11-06
GYD,240.769407,EUR,2025-11-06
HKD,8.949176,EUR,2025-11-06
HNL,30.344346,EUR,2025-11-06
HRK,7.537373,EUR,2025-11-06
HTG,150.701204,EUR,2025-11-06
HUF,386.742605,EUR,2025-11-06
IDR,19235.280913,EUR,2025-11-06
ILS,3.753944,EUR,2025-11-06
IMP,0.882592,EUR,2025-11-06
INR,101.969759,EUR,2025-11-06
IQD,1508.0265,EUR,2025-11-06
IRR,48478.44151,EUR,2025-11-06
ISK,146.992661,EUR,2025-11-06
JEP,0.882592,EUR,2025-11-06
JMD,185.287933,EUR,2025-11-06
JOD,0.816201,EUR,2025-11-06
JPY,177.109071,EUR,2025-11-06
KES,148.788039,EUR,2025-11-06
KGS,100.66947,EUR,2025-11-06
KHR,4635.742249,EUR,2025-11-06
KMF,492.699191,EUR,2025-11-06
KPW,1036.019393,EUR,2025-11-06
KRW,1666.133332,EUR,2025-11-06
KWD,0.353581,EUR,2025-11-06
KYD,0.959071,EUR,2025-11-06
KZT,604.523046,EUR,2025-11-06
LAK,24994.6781,EUR,2025-11-06
LBP,103086.850041,EUR,2025-11-06
LKR,350.644712,EUR,2025-11-06
LRD,210.231611,EUR,2025-11-06
LSL,20.006689,EUR,2025-11-06
LTL,3.399091,EUR,2025-11-06
LVL,0.696329,EUR,2025-11-06
LYD,6.279648,EUR,2025-11-06
MAD,10.708132,EUR,2025-11-06
MDL,19.725361,EUR,2025-11-06
MGA,5180.244251,EUR,2025-11-06
MKD,61.626461,EUR,2025-11-06
MMK,2416.566573,EUR,2025-11-06
MNT,4128.891194,EUR,2025-11-06
MOP,9.217156,EUR,2025-11-06
MRU,44.031676,EUR,2025-11-06
MUR,52.953378,EUR,2025-11-06
MVR,17.733666,EUR,2025-11-06
MWK,1998.423059,EUR,2025-11-06
MXN,21.400341,EUR,2025-11-06
MYR,4.815306,EUR,2025-11-06
MZN,73.628633,EUR,2025-11-06
NAD,20.007464,EUR,2025-11-06
NGN,1660.562475,EUR,2025-11-06
NIO,42.328492,EUR,2025-11-06
NOK,11.746833,EUR,2025-11-06
NPR,163.406936,EUR,2025-11-06
NZD,2.033053,EUR,2025-11-06
OMR,0.442626,EUR,2025-11-06
PAB,1.150805,EUR,2025-11-06
PEN,3.886913,EUR,2025-11-06
PGK,4.853339,EUR,2025-11-06
PHP,67.885939,EUR,2025-11-06
PKR,323.304805,EUR,2025-11-06
PLN,4.255987,EUR,2025-11-06
PYG,8146.979278,EUR,2025-11-06
QAR,4.191424,EUR,2025-11-06
RON,5.083894,EUR,2025-11-06
RSD,117.220879,EUR,2025-11-06
RUB,93.655001,EUR,2025-11-06
RWF,1669.189637,EUR,2025-11-06
SAR,4.317376,EUR,2025-11-06
SBD,9.46698,EUR,2025-11-06
SCR,15.818958,EUR,2025-11-06
SDG,691.270167,EUR,2025-11-06
SEK,10.99806,EUR,2025-11-06
SGD,1.502685,EUR,2025-11-06
SHP,0.863672,EUR,2025-11-06
SLE,26.710393,EUR,2025-11-06
SLL,24139.359525,EUR,2025-11-06
SOS,657.902244,EUR,2025-11-06
SRD,44.386633,EUR,2025-11-06
STD,23826.796834,EUR,2025-11-06
STN,24.692495,EUR,2025-11-06
SVC,10.069278,EUR,2025-11-06
SYP,12730.424614,EUR,2025-11-06
SZL,20.007015,EUR,2025-11-06
THB,37.360493,EUR,2025-11-06
TJS,10.656563,EUR,2025-11-06
TMT,4.029078,EUR,2025-11-06
TND,3.407704,EUR,2025-11-06
TOP,2.696149,EUR,2025-11-06
TRY,48.471782,EUR,2025-11-06
TTD,7.799553,EUR,2025-11-06
TWD,35.600367,EUR,2025-11-06
TZS,2831.644372,EUR,2025-11-06
UAH,48.423489,EUR,2025-11-06
UGX,4018.983393,EUR,2025-11-06
USD,1.151165,EUR,2025-11-06
UYU,45.768534,EUR,2025-11-06
UZS,13799.595294,EUR,2025-11-06
VES,261.627921,EUR,2025-11-06
VND,30301.547742,EUR,2025-11-06
VUV,140.3718,EUR,2025-11-06
WST,3.229967,EUR,2025-11-06
XAF,657.101635,EUR,2025-11-06
XAG,0.023835,EUR,2025-11-06
XAU,0.000289,EUR,2025-11-06
XCD,3.111082,EUR,2025-11-06
XCG,2.074004,EUR,2025-11-06
XDR,0.815889,EUR,2025-11-06
XOF,656.737143,EUR,2025-11-06
XPF,119.331742,EUR,2025-11-06
YER,274.549659,EUR,2025-11-06
ZAR,20.020318,EUR,2025-11-06
ZMK,10361.868477,EUR,2025-11-06
ZMW,25.777904,EUR,2025-11-06
ZWL,370.674746,EUR,2025-11-06
